iter	MAE
0	21.19492449
1	21.19468709
2	21.19449845
3	21.19425063
4	21.19404118
5	21.19381081
6	21.19355146
7	21.19327575
8	21.19307317
9	21.19282738
10	21.19261172
11	21.1923841
12	21.19218915
13	21.19199055
14	21.1917457
15	21.19150678
16	21.19132127
17	21.19110789
18	21.19090294
19	21.19068793
20	21.19053142
21	21.19037104
22	21.19017794
23	21.19001345
24	21.18985106
25	21.18969092
26	21.18950018
27	21.18934934
28	21.18917206
29	21.18905151
30	21.18887978
31	21.18870592
32	21.18855938
33	21.18839804
34	21.18824487
35	21.18810236
36	21.18794288
37	21.18780203
38	21.18768385
39	21.1875206
40	21.18738603
41	21.18725954
42	21.18709978
43	21.18696624
44	21.18684661
45	21.18669111
46	21.18658516
47	21.18643363
48	21.1862818
49	21.18616384
50	21.18601688
51	21.18587551
52	21.18573355
53	21.18565095
54	21.18554339
55	21.18543013
56	21.18531669
57	21.18520057
58	21.18506191
59	21.18491429
60	21.18480787
61	21.18466493
62	21.18451674
63	21.18440939
64	21.18426444
65	21.18413138
66	21.18405026
67	21.18390063
68	21.18381299
69	21.18373226
70	21.18367373
71	21.18360241
72	21.18352401
73	21.1834426
74	21.18335736
75	21.18325448
76	21.18315037
77	21.18307362
78	21.18297287
79	21.18289281
80	21.18277502
81	21.18268064
82	21.18261133
83	21.18249452
84	21.18239516
85	21.18231567
86	21.18222754
87	21.18214051
88	21.18201072
89	21.18191214
90	21.18182222
91	21.18174993
92	21.18168958
93	21.18160031
94	21.18147141
95	21.18138017
96	21.18130691
97	21.18125264
98	21.18119233
99	21.18112061
100	21.1810254
101	21.18094666
102	21.18084837
103	21.18073184
104	21.18063886
105	21.18056513
106	21.18048918
107	21.18041974
108	21.18035958
109	21.18024551
110	21.18015152
111	21.18005672
112	21.17995329
113	21.17986618
114	21.17975418
115	21.17965369
116	21.17957448
117	21.1794735
118	21.17940228
119	21.17931083
120	21.17924922
121	21.17917048
122	21.17908781
123	21.17898434
124	21.17889772
125	21.17881945
126	21.17873497
127	21.17867606
128	21.1785819
129	21.17848577
130	21.17840757
131	21.1783551
132	21.17825239
133	21.17818472
134	21.17807847
135	21.17797923
136	21.17788887
137	21.17782025
138	21.17773218
139	21.17763237
140	21.17755717
141	21.17747074
142	21.17737418
143	21.1773021
144	21.17718603
145	21.17711363
146	21.17703763
147	21.17693722
148	21.1768617
149	21.17678446
150	21.17671528
151	21.17664498
152	21.17655075
153	21.1764899
154	21.17641581
155	21.17635703
156	21.17627468
157	21.17616978
158	21.17604879
159	21.17597151
160	21.17588132
161	21.17579578
162	21.17569888
163	21.17561438
164	21.17552399
165	21.17545297
166	21.17539426
167	21.17533505
168	21.17524221
169	21.17517596
170	21.17510902
171	21.17505351
172	21.17496112
173	21.17486663
174	21.17477684
175	21.17472174
176	21.17464938
177	21.17456943
178	21.17447837
179	21.17439489
180	21.17433966
181	21.17428018
182	21.17421321
183	21.17412504
184	21.17404134
185	21.17397192
186	21.17389999
187	21.1738482
188	21.17376416
189	21.17368122
190	21.17360097
191	21.17350748
192	21.17344515
193	21.17338832
194	21.17330154
195	21.17323449
196	21.17315705
197	21.1730787
198	21.1729909
199	21.17292472
200	21.17282225
201	21.17274252
202	21.17266154
203	21.17257372
204	21.17246915
205	21.17241051
206	21.17232302
207	21.17224863
208	21.1721525
209	21.17209193
210	21.1720251
211	21.17197266
212	21.17188069
213	21.1717944
214	21.17173333
215	21.17167457
216	21.17160235
217	21.17152727
218	21.17147197
219	21.17139322
220	21.17133111
221	21.17125563
222	21.17118892
223	21.17111233
224	21.17102665
225	21.17094561
226	21.1708546
227	21.17076229
228	21.17067758
229	21.17059237
230	21.17053386
231	21.17045122
232	21.1703549
233	21.17028974
234	21.17021178
235	21.17013206
236	21.1700397
237	21.16995071
238	21.16988851
239	21.16981458
